299.797,-403.334,316.996,-414.83,-55.3412,-76.5602
297.579,-373.23,317.491,-377.204,7.64219,56.1039
301.338,-343.855,305.72,-343.175,-5.28675,52.9358
304.957,-321.243,305.888,-316.881,0.0667749,37.2077
302.155,-302.096,303.382,-298.742,-0.752378,24.0935
300.074,-273.555,300.739,-273.927,-0.898637,23.7068
305.149,-259.748,303.945,-257.587,2.36385,18.51
300.88,-227.688,302.939,-231.101,1.92151,21.3194
299.363,-200.44,301.589,-203.381,1.33925,23.8298
300.496,-171.375,301.709,-173.926,1.55663,26.4624
297.226,-150.906,299.719,-150.007,0.421541,25.4168
302.782,-126.305,301.772,-125.682,1.37448,24.9727
301.146,-94.014,302.092,-96.145,1.37731,27.2727
292.446,-72.9627,297.264,-71.9062,-1.1851,25.8602
298.875,-49.0299,297.715,-48.0899,-0.724024,24.8099
302.915,-28.4665,300.614,-26.8428,0.74371,22.7505
294.449,2.50288,297.123,0.416981,-0.975002,24.642
293.212,25.1605,294.363,25.1867,-1.92537,24.6741
295.19,49.912,294.002,49.8122,-1.52859,24.6244
290.306,73.1077,291.212,73.6255,-2.22219,24.1768
284.553,97.1488,286.256,97.5057,-3.67584,23.9661
278.299,122.582,279.74,122.31,-5.43431,24.3641
264.414,145.826,267.971,146.549,-8.96928,24.4865
248.962,167.923,252.514,169.518,-13.0094,23.9628
237.197,186.765,238.178,189.42,-14.9617,21.8933
216.342,203.044,218.908,206.383,-18.2576,19.161
199.299,220.297,199.701,222.195,-20.2397,16.6981
179.01,234.844,179.014,236.198,-21.9472,14.2864
159.123,249.959,158.134,249.797,-22.9083,12.5889
138.419,266.857,136.916,264.603,-23.4975,12.2094
118.172,267.347,116.815,271.18,-22.538,8.39822
92.1883,283.498,92.6264,281.405,-24.1365,7.68318
71.8349,289.284,70.6036,288.961,-23.7831,6.24482
48.1534,295.016,47.6175,294.799,-23.8564,4.75015
20.7555,297.316,21.622,297.808,-25.3788,2.71305
